country_id,Country/Territory,UN region,IMF Estimate,IMF Year,World Bank Estimate,World Bank Year,United Nations Estimate,United Nations Year
0,World,—,105568.78,2023,100562.01,2022,96698.0,2021
1,United States,Americas,26854.6,2023,25462.7,2022,23315.08,2021
2,China,Asia,19373.59,[n 1]2023,17963.17,[n 3]2022,17734.13,[n 1]2021
3,Japan,Asia,4409.74,2023,4231.14,2022,4940.88,2021
4,Germany,Europe,4308.85,2023,4072.19,2022,4259.94,2021
5,India,Asia,3736.88,2023,3385.09,2022,3201.47,2021
6,United Kingdom,Europe,3158.94,2023,3070.67,2022,3131.38,2021
7,France,Europe,2923.49,2023,2782.9,2022,2957.88,2021
8,Italy,Europe,2169.74,2023,2010.43,2022,2107.7,2021
9,Canada,Americas,2089.67,2023,2139.84,2022,1988.34,2021
10,Brazil,Americas,2081.24,2023,1920.1,2022,1608.98,2021
11,Russia,Europe,2062.65,2023,2240.42,2022,1778.78,2021
12,South Korea,Asia,1721.91,2023,1665.25,2022,1810.97,2021
13,Australia,Oceania,1707.55,2023,1675.42,2022,1734.53,2021
14,Mexico,Americas,1663.16,2023,1414.19,2022,1272.84,2021
15,Spain,Europe,1492.43,2023,1397.51,2022,1427.38,2021
16,Indonesia,Asia,1391.78,2023,1319.1,2022,1186.09,2021
17,Netherlands,Europe,1080.88,2023,991.12,2022,1012.85,2021
18,Saudi Arabia,Asia,1061.9,2023,1108.15,2022,833.54,2021
19,Turkey,Asia,1029.3,2023,905.99,2022,819.03,2021
20,Switzerland,Europe,869.6,2023,807.71,2022,812.87,2021
21,Poland,Europe,748.89,2023,688.18,2022,679.44,2021
22,Argentina,Americas,641.1,2023,632.77,2022,487.23,2021
23,Belgium,Europe,624.25,2023,578.6,2022,594.1,2021
24,Sweden,Europe,599.05,2023,585.94,2022,635.66,2021
25,Ireland,Europe,594.1,2023,529.24,2022,504.18,2021
26,Thailand,Asia,574.23,2023,495.34,2022,505.98,2021
27,Norway,Europe,554.1,2023,579.27,2022,482.18,2021
28,Israel,Asia,539.22,2023,522.03,2022,481.59,2021
29,Singapore,Asia,515.55,2023,466.79,2022,396.99,2021
30,Austria,Europe,515.2,2023,471.4,2022,480.37,2021
31,Nigeria,Africa,506.6,2023,477.39,2022,430.92,2021
32,United Arab Emirates,Asia,498.98,2023,507.54,2022,405.47,2021
33,Vietnam,Asia,449.09,2023,408.8,2022,366.14,2021
34,Malaysia,Asia,447.03,2023,406.31,2022,372.7,2021
35,Philippines,Asia,440.9,2023,404.28,2022,394.09,2021
36,Bangladesh,Asia,420.52,2023,460.2,2022,414.91,2021
37,Denmark,Europe,405.63,2023,395.4,2022,398.3,2021
38,South Africa,Africa,399.02,2023,405.87,2022,419.02,2021
39,Hong Kong,Asia,382.85,[n 5]2023,359.84,2022,369.17,2021
40,Egypt,Africa,378.11,2023,476.75,2022,425.91,2021
41,Iran,Asia,367.97,2023,388.54,2022,594.89,2021
42,Chile,Americas,358.56,2023,301.02,2022,317.06,2021
43,Romania,Europe,348.9,2023,301.26,2022,284.09,2021
44,Colombia,Americas,334.69,2023,343.94,2022,314.46,2021
45,Czech Republic,Europe,330.48,2023,290.92,2022,281.78,2021
46,Finland,Europe,301.67,2023,280.83,2022,297.3,2021
47,Peru,Americas,268.24,2023,242.63,2022,223.25,2021
48,Iraq,Asia,267.89,2023,264.18,2022,204.0,2021
49,Portugal,Europe,267.72,2023,251.94,2022,253.66,2021
50,New Zealand,Oceania,251.97,2023,247.23,2022,250.45,2021
51,Kazakhstan,Asia,245.7,2023,220.62,2022,193.02,2021
52,Greece,Europe,239.3,2023,219.07,2022,214.87,2021
53,Qatar,Asia,219.57,2023,237.3,2022,179.57,2021
54,Algeria,Africa,206.01,2023,191.91,2022,163.47,2021
55,Hungary,Europe,188.5,2023,178.79,2022,181.85,2021
56,Kuwait,Asia,164.71,2023,184.56,2022,136.64,2021
57,Ethiopia,Africa,156.08,2023,126.78,2022,99.27,2021
58,Ukraine,Europe,148.71,[n 6]2023,160.5,[n 6]2022,200.09,[n 6]2021
59,Morocco,Africa,138.78,2023,134.18,2022,142.87,[n 7]2021
60,Slovakia,Europe,127.53,2023,115.47,2022,116.53,2021
61,Ecuador,Americas,121.29,2023,115.05,2022,106.17,2021
62,Dominican Republic,Americas,121.29,2023,113.64,2022,94.24,2021
63,Puerto Rico,Americas,120.84,2023,113.44,2022,106.53,2021
64,Kenya,Africa,118.13,2023,113.42,2022,110.35,2021
65,Angola,Africa,117.88,2023,106.71,2022,70.53,2021
66,Oman,Asia,104.9,2023,114.67,2022,88.19,2021
67,Guatemala,Americas,102.31,2023,95.0,2022,85.99,2021
68,Bulgaria,Europe,100.64,2023,89.04,2022,84.06,2021
69,Uzbekistan,Asia,92.33,2023,80.39,2022,69.24,2021
70,Luxembourg,Europe,86.97,2023,82.28,2022,85.51,2021
71,Tanzania,Africa,85.42,2023,75.71,2022,70.3,[n 8]2021
72,Croatia,Europe,78.88,2023,70.96,2022,68.96,2021
73,Lithuania,Europe,78.35,2023,70.33,2022,66.44,2021
74,Costa Rica,Americas,77.78,2023,68.38,2022,64.28,2021
75,Uruguay,Americas,77.31,2023,71.18,2022,59.32,2021
76,Panama,Americas,77.26,2023,76.52,2022,63.6,2021
77,Ivory Coast,Africa,77.05,2023,70.02,2022,69.76,2021
78,Serbia,Europe,73.96,2023,63.5,2022,63.07,2021
79,Belarus,Europe,73.54,2023,72.79,2022,68.21,2021
80,Azerbaijan,Asia,70.03,2023,78.72,2022,54.62,2021
81,DR Congo,Africa,69.47,2023,58.07,2022,52.85,2021
82,Slovenia,Europe,68.11,2023,62.12,2022,61.75,2021
83,Ghana,Africa,66.62,2023,72.84,2022,79.08,2021
84,Myanmar,Asia,63.99,2023,59.36,2022,58.58,2021
85,Jordan,Asia,52.06,2023,47.45,2022,45.24,2021
86,Tunisia,Africa,49.82,2023,46.66,2022,46.69,2021
87,Uganda,Africa,49.79,2023,45.56,2022,42.66,2021
88,Cameroon,Africa,48.62,2023,44.34,2022,45.37,2021
89,Latvia,Europe,47.4,2023,41.15,2022,39.85,2021
90,Sudan,Africa,46.7,2023,51.66,2022,35.87,2021
91,Libya,Africa,46.3,2023,45.75,2022,39.01,2021
92,Bolivia,Americas,46.1,2023,43.07,2022,40.41,2021
93,Bahrain,Asia,44.87,2023,44.39,2022,38.87,2021
94,Paraguay,Americas,42.82,2023,41.72,2022,40.46,2021
95,Nepal,Asia,42.1,2023,40.83,2022,36.21,2021
96,Estonia,Europe,41.55,2023,38.1,2022,37.19,2021
97,Macau,Asia,35.84,[n 9]2023,21.98,2022,29.9,2021
98,El Salvador,Americas,33.75,2023,32.49,2022,28.74,2021
99,Honduras,Americas,32.86,2023,31.72,2022,28.49,2021
100,Papua New Guinea,Oceania,31.36,2023,30.63,2022,26.6,2021
101,Senegal,Africa,31.22,2023,27.68,2022,27.62,2021
102,Cyprus,Asia,30.86,[n 10]2023,28.44,[n 10]2022,28.41,[n 10]2021
103,Cambodia,Asia,30.63,2023,29.96,2022,26.67,2021
104,Zimbabwe,Africa,29.93,2023,20.68,2022,24.12,2021
105,Zambia,Africa,29.27,2023,29.78,2022,21.31,2021
106,Iceland,Europe,28.62,2023,27.84,2022,25.6,2021
107,Bosnia and Herzegovina,Europe,28.49,2023,24.53,2022,23.36,2021
108,Trinidad and Tobago,Americas,28.22,2023,27.9,2022,24.46,2021
109,Georgia,Europe,27.95,[n 11]2023,24.6,[n 11]2022,18.7,[n 11]2021
110,Haiti,Americas,26.58,2023,20.25,2022,19.04,2021
111,Armenia,Asia,23.72,2023,19.5,2022,13.86,2021
112,Guinea,Africa,23.33,2023,21.23,2022,16.04,2021
113,Burkina Faso,Africa,21.08,2023,18.89,2022,19.74,2021
114,Mali,Africa,20.78,2023,18.83,2022,19.16,2021
115,Gabon,Africa,20.33,2023,21.07,2022,18.52,2021
116,Albania,Europe,20.18,2023,18.88,2022,18.26,2021
117,Mozambique,Africa,19.91,2023,17.85,2022,15.78,2021
118,Palestine,Asia,19.21,[n 12]2023,19.11,[n 12]2022,18.04,[n 13]2021
119,Botswana,Africa,19.57,2023,20.35,2022,17.61,2021
120,Malta,Europe,19.4,2023,17.76,2022,17.72,2021
121,Benin,Africa,19.24,2023,17.4,2022,17.69,2021
122,Nicaragua,Americas,17.29,2023,15.67,2022,14.01,2021
123,Jamaica,Americas,17.25,2023,17.1,2022,14.66,2021
124,Mongolia,Asia,16.91,2023,16.81,2022,15.1,2021
125,Niger,Africa,16.62,2023,13.97,2022,14.92,2021
126,Guyana,Americas,16.31,2023,15.36,2022,8.04,2021
127,Brunei,Asia,15.99,2023,16.68,2022,14.01,2021
128,Madagascar,Africa,15.97,2023,14.96,2022,14.45,2021
129,Moldova,Europe,15.83,[n 14]2023,14.42,[n 14]2022,13.68,[n 14]2021
130,North Macedonia,Europe,15.28,2023,13.56,2022,13.88,2021
131,Equatorial Guinea,Africa,15.1,2023,11.81,2022,12.43,2021
132,Mauritius,Africa,14.57,2023,12.9,2022,11.52,2021
133,Bahamas,Americas,14.11,2023,12.9,2022,11.21,2021
134,Laos,Asia,14.09,2023,15.72,2022,19.07,2021
135,Namibia,Africa,13.49,2023,12.61,2022,12.24,2021
136,Rwanda,Africa,13.15,2023,13.31,2022,11.07,2021
137,Congo,Africa,13.03,2023,14.62,2022,12.84,2021
138,Tajikistan,Asia,12.8,2023,10.49,2022,8.75,2021
139,Kyrgyzstan,Asia,12.31,2023,10.93,2022,8.74,2021
140,Chad,Africa,11.96,2023,12.7,2022,16.41,2021
141,Malawi,Africa,11.28,2023,13.16,2022,12.2,2021
142,Mauritania,Africa,10.97,2023,10.38,2022,10.0,2021
143,Kosovo,Europe,9.99,2023,9.43,2022,9.41,2021
144,Togo,Africa,9.0,2023,8.13,2022,8.16,2021
145,Somalia,Africa,8.74,2023,8.13,2022,7.63,2021
146,Montenegro,Europe,7.03,2023,6.1,2022,5.81,2021
147,Maldives,Asia,7.0,2023,6.19,2022,5.41,2021
148,Barbados,Americas,6.12,2023,5.64,2022,4.84,2021
149,Fiji,Oceania,5.38,2023,4.94,2022,4.3,2021
150,Eswatini,Africa,4.82,2023,4.85,2022,4.73,2021
151,Liberia,Africa,4.38,2023,4.0,2022,2.44,2021
152,Djibouti,Africa,3.92,2023,3.52,2022,3.7,2021
153,Andorra,Europe,3.67,2023,3.35,2022,3.32,2021
154,Sierra Leone,Africa,3.52,2023,3.97,2022,4.25,2021
155,Suriname,Americas,3.47,2023,3.62,2022,3.22,2021
156,Burundi,Africa,3.23,2023,3.07,2022,3.9,2021
157,Belize,Americas,3.16,2023,2.82,2022,2.49,2021
158,Central African Republic,Africa,2.74,2023,2.38,2022,2.52,2021
159,Lesotho,Africa,2.58,2023,2.55,2022,2.37,2021
160,Cape Verde,Africa,2.47,2023,2.32,2022,1.94,2021
161,Gambia,Africa,2.28,2023,2.27,2022,2.04,2021
162,Saint Lucia,Americas,2.26,2023,2.06,2022,1.76,2021
163,East Timor,Asia,1.99,2023,3.16,2022,2.0,2021
164,Seychelles,Africa,1.95,2023,1.59,2022,1.29,2021
165,Guinea-Bissau,Africa,1.89,2023,1.63,2022,1.56,2021
166,Antigua and Barbuda,Americas,1.86,2023,1.76,2022,1.42,2021
167,Solomon Islands,Oceania,1.7,2023,1.6,2022,1.63,2021
168,Comoros,Africa,1.35,2023,1.24,2022,1.34,2021
169,Grenada,Americas,1.27,2023,1.26,2022,1.12,2021
170,Vanuatu,Oceania,1.06,2023,0.98,2022,0.98,2021
171,Saint Kitts and Nevis,Americas,1.05,2023,0.96,2022,0.86,2021
172,Saint Vincent and the Grenadines,Americas,1.04,2023,0.95,2022,0.88,2021
173,Samoa,Oceania,0.9,2023,0.83,2022,0.86,2021
174,Dominica,Americas,0.68,2023,0.61,2022,0.55,2021
175,São Tomé and Príncipe,Africa,0.62,2023,0.55,2022,0.56,2021
176,Micronesia,Oceania,0.46,2023,0.43,2022,0.4,2021
177,Marshall Islands,Oceania,0.29,2023,0.28,2022,0.26,2021
178,Kiribati,Oceania,0.25,2023,0.22,2022,0.23,2021
179,Nauru,Oceania,0.15,2023,0.15,2022,0.16,2021
180,Tuvalu,Oceania,0.06,2023,0.06,2022,0.06,2021
